gene	Adult_Hind_Gut	Adult_Mid_Gut	Adult_Accessory_gland	Adult_Brain	Adult_Crop	Larval_Wandering_fat_body	Adult_Head	Larvae_Wandering_Tubules	Adult_Ovary	Adult_Testes	Adult_Salivary_Gland	Adult_Carcass	Adult_Thoracoabdominal_ganglion	Larval_Feeding_Hind_Gut	Larval_Feeding_Mid_Gut	Larval_Feeding_Salivary_Gland	Adult_Female_Spermatheca_Mated	Adult_Female_Spermatheca_Virgin	Larval_Feeding_Malpighian_Tubule	Larval_Feeding_Fatbody	Larval_Feeding_Carcass	Larval_Feeding_Central_Nevous_System	Larval_Feeding_Trachea	Adult_Fatbody	Adult_Eye	Adult_Heart	Adult_Male_Ejaculatory_Duct	Adult_Trachea	Adult_Thoracic_Muscle	Adult_Wings
FBgn0000008	3.561242476	0.0001	6.897747715	6.3830621	4.0261651	6.65595853	5.320881501	6.621347762	7.382808635	0.0001	0.0001	4.659372247	4.043429356	0.0001	0.0001	0.0001	7.543431082	7.714966944	0.0001	0.0001	5.167552596	4.472633652	4.98757666	5.970172454	5.774283963	4.80572883	0.0001	5.174299549	0.0001	5.106174382
FBgn0000014	0.0001	0.0001	4.223027518	0.0001	0.0001	7.393108139	0.0001	0.0001	0.0001	4.001175637	0.0001	0.0001	4.090382261	0.0001	0.0001	0.0001	6.117015859	6.007445306	0.0001	7.510112729	7.161635545	4.335396875	8.347215185	0.0001	0.0001	3.803128728	0.0001	0.0001	0.0001	0.0001
FBgn0000015	7.420570112	2.908148823	5.475923516	0.0001	0.0001	4.258493567	0.0001	2.921475824	0.0001	3.876989767	0.0001	0.0001	3.781407356	5.071025743	3.056074604	0.0001	7.151817815	7.068009348	3.24911161	5.7538137	6.25242923	4.206932472	8.680972821	3.415073477	0.0001	0.0001	10.41105105	0.0001	0.0001	0.0001
FBgn0000017	4.035198978	0.0001	0.0001	4.386514951	0.0001	0.0001	0.0001	0.0001	5.246904737	5.293404794	0.0001	0.0001	3.528333505	0.0001	0.0001	4.314008994	0.0001	0.0001	0.0001	0.0001	0.0001	3.577788886	3.626085851	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.596478818
FBgn0000018	5.164070846	6.097336116	6.610935061	3.749819846	5.67545268	5.552720916	4.561928544	6.069086147	7.021254794	6.461996445	5.759852438	4.613682641	4.448604965	5.350801157	5.767779306	6.043706973	6.000113808	5.976833416	6.683561987	5.882768884	5.635182475	5.437342664	6.275826016	5.823349568	4.790314033	5.938986263	5.884192705	5.084949	0.0001	4.748825719
FBgn0000022	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	2.800132083	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000024	3.956565653	8.857317502	5.329000329	10.29902109	8.117558716	7.887720495	9.585739398	7.65231981	0.0001	3.468067083	0.0001	5.989921933	11.15352262	4.751358775	7.965877911	6.105758175	4.628698034	0.0001	7.814647666	6.743853114	5.501975167	9.942814109	3.853148524	4.337156755	10.06856869	4.589814871	3.763399832	7.661012647	0.0001	9.167205259
FBgn0000028	0.0001	0.0001	0.0001	5.73436402	0.0001	0.0001	0.0001	0.0001	0.0001	5.922159883	0.0001	0.0001	3.13376258	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	3.424490876	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0000032	7.857465905	8.721560799	10.67063739	7.329612351	8.154261396	9.97082072	6.828948622	9.628626821	10.34055195	9.274977067	10.1082123	7.791507895	7.649555968	9.236163557	9.958310121	11.50030506	9.009609287	9.322548253	8.88304705	9.441166273	9.395375995	7.44061946	9.423848546	8.429133761	6.96585822	8.963276304	9.422509424	8.474480604	6.188641409	7.268942439
FBgn0000036	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
