Tissue	Genome_Background	Total	DAF1.5	DAF10	DAF100
Adult_Accessory_gland	484	24	19	3	2
Adult_Brain	732	39	37	2	0
Adult_Carcass	49	2	2	0	0
Adult_Crop	260	12	10	2	0
Adult_Eye	299	12	12	0	0
Adult_Fatbody	161	7	4	3	0
Adult_Female_Spermatheca_Mated	73	4	2	2	0
Adult_Female_Spermatheca_Virgin	118	6	6	0	0
Adult_Head	75	5	5	0	0
Adult_Heart	154	13	10	3	0
Adult_Hind_Gut	131	6	6	0	0
Adult_Male_Ejaculatory_Duct	197	10	9	0	1
Adult_Mid_Gut	355	61	37	23	1
Adult_Ovary	1480	54	45	5	4
Adult_Salivary_Gland	270	14	13	1	0
Adult_Testes	1970	87	78	7	2
Adult_Thoracic_Muscle	580	15	15	0	0
Adult_Thoracoabdominal_ganglion	313	12	12	0	0
Adult_Trachea	87	11	8	3	0
Adult_Wings	304	26	23	3	0
Larvae_Wandering_Tubules	384	21	17	4	0
Larval_Feeding_Carcass	253	21	18	3	0
Larval_Feeding_Central_Nevous_System	653	31	31	0	0
Larval_Feeding_Fatbody	250	32	26	6	0
Larval_Feeding_Hind_Gut	144	9	7	2	0
Larval_Feeding_Malpighian_Tubule	266	15	11	4	0
Larval_Feeding_Mid_Gut	285	22	19	3	0
Larval_Feeding_Salivary_Gland	397	17	17	0	0
Larval_Feeding_Trachea	312	14	13	1	0
Larval_Wandering_fat_body	262	16	12	3	1
No_significant_Expression	854	108	71	29	8
