gene	DAF	tissue
FBgn0000008	0.006451613	Adult_Female_Spermatheca_Virgin
FBgn0000179	0.008	Adult_Wings
FBgn0000286	0.007092199	Adult_Thoracic_Muscle
FBgn0000346	0.00621118	Adult_Thoracoabdominal_ganglion
FBgn0000578	0.00621118	Larval_Feeding_Central_Nevous_System
FBgn0000594	0.098765432	Larval_Feeding_Carcass
FBgn0000606	0.006802721	Larval_Feeding_Central_Nevous_System
FBgn0000808	0.006329114	No_significant_Expression
FBgn0001108	0.006289308	Adult_Thoracic_Muscle
FBgn0001145	0.00625	Adult_Trachea
FBgn0001206	0.006329114	Adult_Ovary
FBgn0001256	0.012345679	Adult_Eye
FBgn0001297	0.006578947	Adult_Thoracic_Muscle
FBgn0001320	0.006493506	Adult_Crop
FBgn0001978	0.006622517	Adult_Ovary
FBgn0002440	0.00617284	Larval_Feeding_Carcass
FBgn0002543	0.00625	Larval_Feeding_Central_Nevous_System
FBgn0002869	0.00617284	Adult_Mid_Gut
FBgn0003057	0.00952381	No_significant_Expression
FBgn0003060	0.006896552	Larval_Feeding_Carcass
FBgn0003137	0.006329114	Adult_Trachea
FBgn0003210	0.00617284	Larval_Feeding_Fatbody
FBgn0003302	0.006756757	Adult_Testes
FBgn0003366	0.00625	Adult_Wings
FBgn0003447	0.00625	Adult_Eye
FBgn0004173	0.00617284	Adult_Testes
FBgn0004429	0.01242236	Adult_Salivary_Gland
FBgn0004431	0.00617284	Larval_Feeding_Mid_Gut
FBgn0004449	0.00621118	Adult_Brain
FBgn0004514	0.006756757	Adult_Thoracoabdominal_ganglion
FBgn0004892	0.006802721	Adult_Male_Ejaculatory_Duct
FBgn0004959	0.006451613	Larval_Feeding_Central_Nevous_System
FBgn0005198	0.006289308	Adult_Brain
FBgn0005612	0.006410256	Larvae_Wandering_Tubules
FBgn0010039	0.00625	Larval_Feeding_Salivary_Gland
FBgn0010044	0.01242236	Adult_Mid_Gut
FBgn0010215	0.00617284	Larval_Feeding_Central_Nevous_System
FBgn0010313	0.007352941	Larval_Feeding_Central_Nevous_System
FBgn0010399	0.006289308	Adult_Thoracoabdominal_ganglion
FBgn0011276	0.006535948	Larval_Feeding_Central_Nevous_System
FBgn0011286	0.006369427	Adult_Thoracic_Muscle
FBgn0011715	0.00617284	Larval_Feeding_Central_Nevous_System
FBgn0011739	0.006410256	Adult_Trachea
FBgn0013772	0.00617284	Adult_Crop
FBgn0013955	0.00625	Larval_Feeding_Trachea
FBgn0014417	0.00617284	Larval_Feeding_Fatbody
FBgn0015034	0.00621118	Adult_Accessory_gland
FBgn0015035	0.01242236	Adult_Fatbody
FBgn0015037	0.00625	Adult_Wings
FBgn0015400	0.006451613	Adult_Brain
FBgn0015570	0.00621118	Larval_Feeding_Fatbody
FBgn0015663	0.012345679	Adult_Mid_Gut
FBgn0015818	0.006802721	Larval_Feeding_Central_Nevous_System
FBgn0015904	0.006493506	Adult_Accessory_gland
FBgn0016075	0.006535948	Larval_Feeding_Fatbody
FBgn0016076	0.006329114	Adult_Thoracic_Muscle
FBgn0016120	0.006329114	Adult_Thoracic_Muscle
FBgn0016919	0.006535948	Adult_Accessory_gland
FBgn0019828	0.00617284	Adult_Testes
FBgn0019886	0.00625	Adult_Thoracic_Muscle
FBgn0019929	0.006289308	Adult_Wings
FBgn0019932	0.00625	Adult_Male_Ejaculatory_Duct
FBgn0020626	0.00625	Adult_Salivary_Gland
FBgn0020645	0.012345679	Larval_Feeding_Carcass
FBgn0020887	0.006289308	Adult_Ovary
FBgn0022359	0.00625	Larval_Feeding_Carcass
FBgn0022709	0.006369427	Adult_Thoracic_Muscle
FBgn0023076	0.006329114	Adult_Eye
FBgn0023509	0.006493506	Larval_Feeding_Central_Nevous_System
FBgn0024189	0.007194245	Adult_Brain
FBgn0024957	0.018518519	Adult_Fatbody
FBgn0024997	0.00617284	Adult_Eye
FBgn0025573	0.00617284	Adult_Testes
FBgn0025608	0.006369427	Adult_Crop
FBgn0025835	0.00621118	No_significant_Expression
FBgn0025866	0.00621118	Adult_Salivary_Gland
FBgn0026143	0.00621118	Adult_Ovary
FBgn0026192	0.006289308	Adult_Eye
FBgn0026374	0.006896552	Larval_Feeding_Hind_Gut
FBgn0026397	0.00617284	No_significant_Expression
FBgn0026754	0.00617284	Larval_Feeding_Carcass
FBgn0027073	0.00617284	Adult_Female_Spermatheca_Virgin
FBgn0027330	0.00617284	Adult_Ovary
FBgn0027497	0.006849315	Adult_Salivary_Gland
FBgn0027584	0.01242236	Adult_Head
FBgn0027655	0.006289308	Adult_Thoracoabdominal_ganglion
FBgn0027795	0.007352941	Adult_Testes
FBgn0027836	0.006993007	Adult_Thoracic_Muscle
FBgn0027929	0.030864198	Adult_Heart
FBgn0028406	0.00625	Adult_Brain
FBgn0028430	0.006410256	Larval_Feeding_Carcass
FBgn0028496	0.00617284	Adult_Crop
FBgn0028514	0.00617284	Larval_Feeding_Fatbody
FBgn0028526	0.00621118	Adult_Fatbody
FBgn0028562	0.00617284	Adult_Mid_Gut
FBgn0028573	0.008547009	Larval_Feeding_Fatbody
FBgn0028642	0.00625	Larval_Feeding_Central_Nevous_System
FBgn0028647	0.01863354	Adult_Ovary
FBgn0028737	0.00617284	Larval_Feeding_Trachea
FBgn0028866	0.00625	No_significant_Expression
FBgn0028917	0.00617284	Adult_Female_Spermatheca_Mated
FBgn0028931	0.00621118	Adult_Brain
FBgn0028940	0.0125	Adult_Trachea
FBgn0028947	0.01242236	No_significant_Expression
FBgn0028948	0.037735849	Adult_Mid_Gut
FBgn0028949	0.012345679	Adult_Mid_Gut
FBgn0028952	0.006289308	Adult_Testes
FBgn0029720	0.006410256	Adult_Brain
FBgn0029775	0.006578947	Larval_Feeding_Central_Nevous_System
